"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification (grade)","Nacionality","Admission grade","Displaced","Educational special needs","Debtor","Tuition fees up to date","Gender","Scholarship holder","Age at enrollment","International","Curricular units 1st sem (credited)","Curricular units 2nd sem (credited)","Unemployment rate","Inflation rate","GDP","Target","total_enrolled","total_approved","avg_grade","units_without_evaluation","units_with_evaluation","parental_scores"
1,17,2,9500,1,1,135,1,127.3,1,0,0,1,0,0,18,0,0,0,15.5,2.8,-4.06,"Graduate",15,15,13.925625,0,16,2.41176470588235
1,1,1,9130,1,1,137,1,136.3,1,0,0,1,0,0,20,0,0,0,10.8,1.4,1.74,"Graduate",10,8,12.375,3,16,2.64705882352941
1,1,1,9853,1,1,140,1,124.6,1,0,0,1,0,0,18,0,0,0,16.2,0.3,-0.92,"Enrolled",14,12,12.5833333333333,0,15,3.35294117647059
1,1,3,171,1,1,122,1,120.3,0,0,0,1,0,1,21,0,0,0,11.1,0.6,2.02,"Graduate",0,0,0,0,0,1.70588235294118
1,18,4,9556,1,1,127,1,121.8,1,0,0,1,0,0,20,0,0,0,12.7,3.7,-1.7,"Enrolled",15,15,11.43125,0,23,2.17647058823529
1,1,4,9500,1,1,142,1,125.5,1,0,0,1,0,0,18,0,0,0,12.7,3.7,-1.7,"Graduate",16,14,12.8571428571428,0,24,4.29411764705882
1,1,4,9670,1,1,125,1,114.9,1,0,0,1,0,1,19,0,0,0,11.1,0.6,2.02,"Graduate",12,12,12.8303571428571,0,15,2.17647058823529
1,1,1,9500,1,1,126,1,123.9,0,0,0,1,0,0,19,0,0,0,11.1,0.6,2.02,"Graduate",15,13,13.7054761904761,0,17,3.35294117647059
1,1,1,9238,1,1,151,1,157,1,0,1,1,0,1,18,0,0,0,7.6,2.6,0.32,"Enrolled",12,9,11.3,0,20,1.94117647058824
1,17,2,9238,1,1,115,1,116.4,1,0,0,1,0,0,21,0,0,0,16.2,0.3,-0.92,"Graduate",12,12,12.3303571428571,0,18,2.64705882352941
1,1,1,9085,1,1,138,1,131,1,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,"Enrolled",10,9,12.8333333333333,2,16,3.35294117647059
1,1,1,9147,1,1,135,1,122.1,1,0,0,1,0,0,20,0,0,0,16.2,0.3,-0.92,"Graduate",10,10,12.1666666666667,0,12,1.94117647058824
1,17,2,9500,1,1,127,1,118.8,1,0,0,1,1,0,19,0,0,0,16.2,0.3,-0.92,"Enrolled",14,12,13.3249999999999,0,16,2.88235294117647
1,44,1,9003,1,39,150,1,150,0,0,0,1,1,0,21,0,0,0,16.2,0.3,-0.92,"Enrolled",12,10,11.2142857142857,0,32,3.35294117647059
1,51,1,9070,1,1,125,1,130,1,0,0,1,1,0,20,0,2,0,8.9,1.4,3.51,"Graduate",12,10,13.1166666666666,0,16,2.88235294117647
1,1,1,9147,1,1,143,1,138.8,0,0,0,0,1,0,18,0,0,0,8.9,1.4,3.51,"Enrolled",10,5,12.4166666666667,0,17,2.17647058823529
1,18,1,8014,0,1,138,1,134.5,1,0,0,1,0,0,19,0,0,0,12.4,0.5,1.79,"Graduate",12,12,13.5208333333333,0,14,2.17647058823529
1,1,1,9991,0,1,130,1,131.4,0,0,0,1,1,0,34,0,0,0,13.9,-0.3,0.79,"Graduate",10,10,12.9142857142857,0,15,2.64705882352941
1,39,1,33,1,1,130,1,102.5,0,0,1,0,1,0,37,0,0,0,8.9,1.4,3.51,"Dropout",14,1,5,0,14,1.94117647058824
1,39,1,9119,1,10,133.1,1,128.8,1,0,0,1,1,0,43,0,0,0,7.6,2.6,0.32,"Dropout",10,0,0,0,0,1.47058823529412
1,43,1,9147,1,1,140,1,122.9,0,0,0,1,0,0,55,0,0,0,16.2,0.3,-0.92,"Dropout",10,3,11,2,18,2.41176470588235
4,39,1,9991,0,1,120,1,113.9,1,0,0,1,0,0,39,0,0,0,7.6,2.6,0.32,"Graduate",10,10,11.3,0,13,2.88235294117647
1,44,1,9130,1,39,120,6,120,0,0,1,0,0,0,20,1,2,1,12.4,0.5,1.79,"Dropout",12,6,11.8333333333333,0,24,4.29411764705882
1,1,5,9773,1,1,126,1,121.1,0,0,1,1,0,0,18,0,0,0,12.7,3.7,-1.7,"Dropout",11,4,6.375,0,11,2.88235294117647
1,1,2,9147,1,1,133,1,120.4,1,0,0,1,0,0,22,0,0,0,8.9,1.4,3.51,"Graduate",10,10,15.3,0,10,3.11764705882353
1,1,6,9500,1,1,103,1,100.6,1,1,0,1,0,0,22,0,0,0,11.1,0.6,2.02,"Graduate",15,12,14.1354285714286,0,18,2.88235294117647
1,17,1,9773,1,1,120,1,121.4,0,0,0,0,0,0,20,0,0,0,12.4,0.5,1.79,"Dropout",12,9,13.4,0,14,1.94117647058824
1,39,1,9991,0,1,133.1,1,109.7,0,0,0,1,0,0,29,0,0,0,16.2,0.3,-0.92,"Dropout",10,0,0,0,0,1.47058823529412
1,17,1,9991,0,1,154,1,134.1,0,0,0,1,0,0,24,0,0,0,7.6,2.6,0.32,"Enrolled",10,5,12.9166666666667,1,20,1.94117647058824
1,17,2,9238,1,1,130,1,127.6,1,0,0,1,0,0,18,0,0,0,11.1,0.6,2.02,"Graduate",12,11,12.4333333333333,0,14,2.41176470588235
1,17,6,9500,1,1,132,1,132.4,1,0,0,1,0,1,22,0,0,0,11.1,0.6,2.02,"Graduate",15,13,13.6440476190475,0,17,2.88235294117647
1,44,1,8014,0,39,130,1,133.4,0,0,0,1,0,1,21,0,3,2,12.4,0.5,1.79,"Graduate",12,12,12.3928571428571,0,13,1.94117647058824
1,1,1,9238,1,1,139,1,126.1,0,0,0,1,0,1,19,0,0,0,12.7,3.7,-1.7,"Graduate",12,11,12.5833333333333,0,14,1.47058823529412
1,39,1,9254,1,1,130,1,113.5,0,0,0,1,0,1,24,0,0,0,12.4,0.5,1.79,"Graduate",12,12,13.9166666666666,0,12,2.41176470588235
1,1,1,9500,1,1,139,1,121.3,1,0,0,1,0,1,19,0,0,0,9.4,-0.8,-3.12,"Enrolled",16,12,11.8333333333333,0,20,2.41176470588235
1,1,1,9773,1,1,127,1,121.8,1,0,0,1,0,1,20,0,0,0,9.4,-0.8,-3.12,"Enrolled",12,7,12.5,0,23,2.88235294117647
1,1,3,9130,1,1,167,1,159.3,0,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Graduate",10,10,15.2571428571428,0,12,1
1,39,1,9991,0,1,130,1,120,0,0,0,1,0,0,27,0,0,0,9.4,-0.8,-3.12,"Dropout",10,10,10.8,0,22,1.47058823529412
1,1,1,9500,1,1,130,1,129.1,1,0,0,1,0,0,18,0,0,0,15.5,2.8,-4.06,"Graduate",15,15,13.3197222222222,0,19,2.41176470588235
2,7,1,9254,1,3,130,1,130,0,0,0,1,0,0,39,0,0,0,12.4,0.5,1.79,"Dropout",12,0,0,0,16,2.17647058823529
1,39,1,9130,1,40,129,1,155.3,1,0,0,1,0,0,27,0,0,5,12.4,0.5,1.79,"Dropout",17,15,12.95,0,22,2.88235294117647
1,17,1,9500,1,1,141,1,139.8,1,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,"Graduate",16,16,14.935,0,16,2.41176470588235
1,1,3,171,1,1,125,1,115.2,1,0,0,1,0,0,18,0,0,0,7.6,2.6,0.32,"Enrolled",0,0,0,0,0,1.70588235294118
1,1,2,9500,1,1,125,1,114.9,0,0,0,1,0,0,18,0,0,0,16.2,0.3,-0.92,"Graduate",15,13,12.6773809523809,0,20,2.41176470588235
1,44,1,9238,1,39,130,1,131.9,0,0,0,1,0,1,21,0,3,2,13.9,-0.3,0.79,"Graduate",12,12,12,0,14,1.94117647058824
1,17,3,171,1,1,133,1,126,1,0,0,1,1,1,19,0,0,0,10.8,1.4,1.74,"Enrolled",0,0,0,0,0,2.17647058823529
1,17,1,9070,1,1,127,1,130.2,1,0,0,1,1,0,19,0,0,0,10.8,1.4,1.74,"Enrolled",12,6,10.7,0,14,2.17647058823529
1,43,1,9070,1,1,116,1,120.9,0,0,0,1,1,0,24,0,0,0,12.7,3.7,-1.7,"Enrolled",12,0,0,0,12,2.41176470588235
4,42,1,9500,1,19,133.1,1,126,1,0,0,1,1,0,29,0,2,1,13.9,-0.3,0.79,"Dropout",15,10,11.45,0,20,1.94117647058824
1,1,3,171,1,1,139,1,128.2,1,0,0,1,1,1,19,0,0,0,10.8,1.4,1.74,"Graduate",0,0,0,0,0,3.11764705882353
1,44,1,9003,1,39,130,1,130,1,0,0,1,1,0,23,0,0,0,8.9,1.4,3.51,"Graduate",12,12,12.5,0,15,1.94117647058824
1,1,3,9147,1,1,125,1,120.1,0,0,1,1,1,0,19,0,0,0,16.2,0.3,-0.92,"Dropout",10,9,10.975,3,18,2.41176470588235
1,39,1,9254,1,1,160,1,100,0,0,0,1,1,0,26,0,0,0,12.7,3.7,-1.7,"Enrolled",12,11,11.4,0,15,2.88235294117647
1,17,1,9147,1,1,148,1,134,0,0,0,1,1,0,18,0,0,0,7.6,2.6,0.32,"Enrolled",10,0,0,0,14,1.94117647058824
1,17,1,9500,1,1,150,1,130.8,0,0,0,1,1,0,24,0,0,0,13.9,-0.3,0.79,"Graduate",15,15,12.8625,0,16,2.41176470588235
1,1,1,171,1,1,141,1,135.8,1,0,0,1,1,0,19,0,0,0,15.5,2.8,-4.06,"Dropout",0,0,0,0,0,3.11764705882353
1,17,4,9254,1,1,118,1,111.7,1,0,0,1,1,0,18,0,0,0,12.4,0.5,1.79,"Dropout",12,4,11.8333333333333,0,24,2.17647058823529
1,1,2,9773,1,1,142,1,132.9,1,0,0,1,1,0,18,0,0,0,10.8,1.4,1.74,"Graduate",12,9,12.3333333333333,0,19,1.47058823529412
1,17,3,9147,1,1,120,1,115.5,1,0,1,1,1,0,18,0,0,0,10.8,1.4,1.74,"Dropout",10,6,10.5952380952381,0,19,3.11764705882353
1,18,4,9254,1,1,106,1,106,1,0,0,1,1,1,21,0,0,0,9.4,-0.8,-3.12,"Dropout",12,5,10.75,0,19,2.88235294117647
1,17,4,9773,1,1,121,1,120.3,1,0,1,1,1,1,19,0,0,0,8.9,1.4,3.51,"Graduate",12,12,13.5,0,12,2.17647058823529
1,17,4,9500,1,1,150,1,130.8,0,0,0,1,1,1,22,0,0,0,16.2,0.3,-0.92,"Graduate",15,15,14.9492063492063,0,16,1.47058823529412
2,39,1,8014,0,1,120,1,117,0,0,0,1,1,0,33,0,0,0,10.8,1.4,1.74,"Graduate",12,12,11.8333333333333,0,14,1.94117647058824
1,1,6,9853,1,1,114,1,110.2,1,0,0,1,1,0,20,0,0,0,10.8,1.4,1.74,"Dropout",12,10,12.2,0,15,2.41176470588235
1,39,1,9991,0,2,140,1,155.7,1,0,0,1,1,0,35,0,0,0,10.8,1.4,1.74,"Dropout",6,0,0,1,1,2.88235294117647
1,39,1,9003,1,4,160,1,180.4,0,0,1,1,1,0,24,0,6,7,12.4,0.5,1.79,"Dropout",24,16,12.7333333333333,0,31,2.41176470588235
1,17,1,9254,1,1,120,1,125.5,0,0,0,1,1,0,18,0,0,0,12.7,3.7,-1.7,"Enrolled",10,8,11.6666666666667,0,14,2.88235294117647
2,39,1,8014,0,1,130,1,110,1,0,0,1,0,0,33,0,0,0,9.4,-0.8,-3.12,"Graduate",12,11,11,0,18,1.94117647058824
1,42,1,9500,1,1,160,1,161,1,0,0,1,0,1,22,0,0,0,10.8,1.4,1.74,"Graduate",16,14,13.08,0,16,1.94117647058824
1,39,1,9670,1,1,120,1,100,0,0,0,1,0,1,25,0,0,0,9.4,-0.8,-3.12,"Graduate",10,9,11.05,0,14,2.41176470588235
1,17,1,9070,1,1,124,1,117.6,1,0,0,1,1,0,20,0,0,0,7.6,2.6,0.32,"Graduate",12,11,10.9333333333333,1,15,2.17647058823529
1,1,6,9147,1,1,143,1,128.7,1,0,0,1,1,0,23,0,0,0,11.1,0.6,2.02,"Enrolled",10,9,13.9,0,11,1.47058823529412
1,43,2,9119,1,1,115,1,112.2,1,0,1,1,1,0,18,0,0,0,15.5,2.8,-4.06,"Enrolled",10,2,5,0,18,2.41176470588235
1,39,1,9500,1,1,133.1,1,100.8,0,0,0,1,1,0,24,0,0,0,13.9,-0.3,0.79,"Dropout",14,0,0,0,25,2.17647058823529
1,17,2,9773,1,1,133.1,41,105,1,0,0,0,0,0,21,1,0,0,8.9,1.4,3.51,"Graduate",12,12,13.75,0,12,1.94117647058824
1,15,1,9130,1,1,133.1,41,100,0,0,0,1,0,0,26,1,0,0,8.9,1.4,3.51,"Dropout",12,2,6,1,13,1.94117647058824
2,39,1,9853,1,10,133.1,1,115.5,0,0,0,1,0,0,39,0,0,0,7.6,2.6,0.32,"Dropout",12,3,6.3333333333333,1,26,1.47058823529412
2,39,1,8014,0,1,133.1,1,114,0,0,0,1,0,0,44,0,2,0,12.7,3.7,-1.7,"Graduate",14,14,12.1041666666667,0,18,1.94117647058824
1,15,1,9119,1,1,130,26,137,1,0,0,1,1,0,19,1,0,0,13.9,-0.3,0.79,"Enrolled",10,8,13.625,0,20,2.17647058823529
1,1,5,9773,1,1,135,1,124.9,1,0,0,1,0,0,18,0,0,0,8.9,1.4,3.51,"Graduate",12,12,13.5,0,12,1.94117647058824
1,1,5,9500,1,1,132,1,120.3,1,0,0,1,0,1,18,0,0,0,12.4,0.5,1.79,"Graduate",15,15,14.1138888888888,0,16,2.41176470588235
1,1,1,9085,1,1,135,1,134.3,1,0,0,1,0,0,19,0,0,0,12.7,3.7,-1.7,"Enrolled",10,10,14,2,14,3.11764705882353
1,1,4,9500,1,1,115,1,111.5,1,0,1,0,0,0,19,0,0,0,13.9,-0.3,0.79,"Dropout",14,4,5.98,0,17,2.88235294117647
1,53,1,9085,1,42,130,1,128.8,0,0,0,1,0,0,21,0,7,4,8.9,1.4,3.51,"Dropout",19,13,13.1375,0,26,1.47058823529412
1,1,4,171,1,1,133.1,1,110,1,0,0,1,0,0,20,0,0,0,16.2,0.3,-0.92,"Graduate",0,0,0,0,0,1.94117647058824
2,39,1,8014,0,1,130,1,113.5,1,0,0,1,0,0,36,0,0,0,9.4,-0.8,-3.12,"Dropout",12,0,0,0,0,2.17647058823529
4,39,1,9003,1,12,133.1,1,160,0,0,0,1,0,0,43,0,13,10,15.5,2.8,-4.06,"Graduate",31,31,14.4311740890688,1,33,1.94117647058824
1,18,1,9853,1,1,123,1,117.4,1,0,0,1,0,0,19,0,0,0,11.1,0.6,2.02,"Dropout",12,0,0,0,0,2.88235294117647
1,51,1,9070,1,1,130,1,122.2,0,0,1,1,0,0,20,0,4,5,11.1,0.6,2.02,"Graduate",21,21,12.6363636363636,0,23,2.41176470588235
1,1,2,9238,1,1,122,1,118.2,1,0,0,1,0,0,19,0,0,0,16.2,0.3,-0.92,"Dropout",12,0,0,0,0,2.17647058823529
1,1,1,9085,1,1,113,1,106.7,1,0,0,1,0,0,20,0,0,0,15.5,2.8,-4.06,"Dropout",12,8,13.725,0,32,1.94117647058824
1,1,5,9500,1,1,111,1,108.2,1,0,0,1,0,0,20,0,2,0,12.4,0.5,1.79,"Dropout",14,11,12.7833333333333,0,19,3.11764705882353
1,17,2,9853,1,1,133.1,1,107,1,0,0,1,0,0,20,0,0,0,16.2,0.3,-0.92,"Enrolled",14,9,12.3333333333333,0,22,2.41176470588235
1,1,1,9238,1,1,142,1,136.1,1,0,0,1,0,0,18,0,0,0,13.9,-0.3,0.79,"Graduate",12,12,14.4285714285714,0,14,2.41176470588235
1,17,2,9147,1,1,123,1,115.3,1,0,0,1,0,1,18,0,0,0,8.9,1.4,3.51,"Enrolled",10,6,12,0,20,2.17647058823529
1,1,1,9085,1,1,131,1,139.8,1,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,"Graduate",10,10,13.1,0,11,2.41176470588235
1,1,3,9773,1,1,158,1,157,1,0,0,1,0,0,18,0,0,0,10.8,1.4,1.74,"Graduate",12,12,12.6190476190475,0,13,2.17647058823529
1,17,2,9500,1,1,122,1,131,1,0,0,1,0,0,18,0,0,0,7.6,2.6,0.32,"Dropout",14,12,12.5166666666666,2,14,1.47058823529412
1,43,1,9500,1,1,130,1,100,0,0,0,1,0,0,20,0,0,0,13.9,-0.3,0.79,"Enrolled",14,13,12.3083333333333,0,18,1.70588235294118
1,17,1,9238,1,1,154,1,140.4,1,0,0,1,0,1,20,0,0,0,7.6,2.6,0.32,"Enrolled",12,6,10.375,0,25,2.41176470588235
1,17,1,9147,1,1,120,1,113.4,0,0,0,1,0,0,20,0,0,0,12.4,0.5,1.79,"Enrolled",10,6,10.5,0,21,3.35294117647059
1,1,2,9085,1,1,140,1,137,0,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,"Graduate",10,10,12.2714285714286,2,18,1.94117647058824
1,1,1,9147,1,1,127,1,121.8,0,0,0,1,0,0,18,0,0,0,11.1,0.6,2.02,"Graduate",10,10,13.3,0,10,3.11764705882353
1,17,1,9254,1,1,133.1,1,131,1,0,0,1,0,0,21,0,0,0,9.4,-0.8,-3.12,"Dropout",12,5,11,0,24,1.94117647058824
1,1,2,9147,1,1,120,1,118.6,1,0,0,1,0,0,19,0,0,0,16.2,0.3,-0.92,"Graduate",10,9,11.025,2,17,2.88235294117647
1,1,1,171,1,1,137,1,122.3,0,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,"Dropout",0,0,0,0,0,2.64705882352941
1,1,1,9670,1,1,131,1,127.9,0,0,0,1,0,1,19,0,0,0,9.4,-0.8,-3.12,"Graduate",10,10,13.5,0,10,1.47058823529412
1,1,1,9085,1,1,130,1,121.3,1,0,0,1,0,0,19,0,0,0,15.5,2.8,-4.06,"Graduate",12,12,13.1833333333333,0,28,2.64705882352941
1,17,6,9556,1,1,122,1,117.1,1,0,0,1,0,0,19,0,0,0,13.9,-0.3,0.79,"Dropout",14,5,6.05,0,12,1.94117647058824
1,44,1,9085,1,39,160,1,160,1,0,0,1,0,0,20,0,1,1,12.4,0.5,1.79,"Graduate",12,11,13.9722222222222,0,24,1.47058823529412
1,1,1,9853,1,1,146,1,145.3,1,0,0,1,0,1,18,0,0,0,9.4,-0.8,-3.12,"Enrolled",12,10,13.1,0,15,2.41176470588235
1,17,3,9238,1,1,131,1,122.6,1,0,0,1,0,0,18,0,0,0,12.4,0.5,1.79,"Graduate",12,12,13.3333333333333,0,13,2.17647058823529
1,17,6,9500,1,1,132,1,128,1,0,0,1,0,0,19,0,0,0,12.4,0.5,1.79,"Graduate",15,15,14.239126984127,0,16,1.70588235294118
1,1,3,9500,1,1,138,1,124.9,1,0,0,1,0,1,18,0,0,0,13.9,-0.3,0.79,"Dropout",15,14,13.4901785714286,0,18,2.88235294117647
1,17,2,9070,1,1,130,1,123.7,1,0,0,1,0,0,18,0,0,0,7.6,2.6,0.32,"Graduate",12,12,12.6666666666667,0,12,1.47058823529412
1,1,4,9147,1,1,126,1,120.1,1,0,0,1,0,0,19,0,0,0,8.9,1.4,3.51,"Graduate",10,10,13.5,0,12,2.41176470588235
1,17,6,9500,1,1,148,1,131.7,1,0,0,1,0,0,19,0,0,0,13.9,-0.3,0.79,"Dropout",14,5,7,0,15,2.88235294117647
1,43,1,9238,1,1,130,1,133.2,0,0,0,1,0,0,20,0,5,2,7.6,2.6,0.32,"Graduate",16,16,11.6904761904762,0,23,1.94117647058824
1,1,1,9670,1,1,117,1,109.3,0,0,1,0,0,1,19,0,0,0,12.4,0.5,1.79,"Dropout",12,9,12.25,0,16,1.94117647058824
1,17,1,9670,1,1,120,1,113,1,0,0,1,0,0,20,0,0,0,7.6,2.6,0.32,"Graduate",10,8,11.85,0,12,2.88235294117647
1,1,1,9773,1,1,153,1,157.9,0,0,1,1,0,1,18,0,0,0,8.9,1.4,3.51,"Graduate",12,12,14.8333333333333,0,12,2.17647058823529
1,1,2,9500,1,1,117,1,112.1,0,0,0,1,0,1,20,0,0,0,11.1,0.6,2.02,"Enrolled",15,12,13.0404285714285,0,18,2.64705882352941
1,18,1,9500,1,1,178,1,174.7,0,0,0,1,0,0,18,0,0,0,13.9,-0.3,0.79,"Graduate",15,15,17.35625,0,16,2.41176470588235
1,1,5,9500,1,1,129,1,128.8,1,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Graduate",14,12,12.6666666666666,0,14,1.47058823529412
1,1,6,9773,1,1,116,1,110.1,1,0,0,1,0,1,19,0,0,0,12.4,0.5,1.79,"Graduate",12,11,12.3333333333333,0,18,2.41176470588235
1,51,1,9147,1,1,99,1,99.7,1,0,1,0,0,0,22,0,0,0,8.9,1.4,3.51,"Enrolled",10,0,0,0,15,2.41176470588235
1,1,3,9238,1,1,135,1,121,1,0,0,1,0,1,19,0,0,0,12.4,0.5,1.79,"Graduate",12,12,11.4166666666667,0,13,2.17647058823529
1,1,3,9500,1,1,141,1,131.7,1,0,0,1,0,1,19,0,0,0,15.5,2.8,-4.06,"Graduate",15,15,12.968125,0,21,2.88235294117647
1,17,5,9853,1,1,132,1,119.1,1,0,0,1,0,1,19,0,0,0,9.4,-0.8,-3.12,"Graduate",12,10,11.4,0,19,2.17647058823529
1,1,4,9254,1,1,132,1,124.7,1,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Dropout",10,0,0,0,20,2.17647058823529
1,17,1,9254,1,1,113,1,117.2,1,0,0,1,0,0,20,0,0,0,7.6,2.6,0.32,"Dropout",12,8,11.4333333333333,0,20,1.94117647058824
1,1,1,9147,1,1,134,1,128.8,0,0,0,1,0,0,18,0,0,0,13.9,-0.3,0.79,"Graduate",10,10,13.7708333333333,0,19,3.11764705882353
1,1,1,9500,1,1,136,1,131.5,0,0,0,1,0,1,20,0,0,0,11.1,0.6,2.02,"Graduate",15,13,14.0209523809523,0,17,1.94117647058824
1,1,1,171,1,1,136,1,121.7,1,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,"Enrolled",0,0,0,0,0,2.41176470588235
1,1,1,9085,1,1,129,1,123.4,0,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Graduate",10,10,12.9,0,12,2.17647058823529
1,17,1,9853,1,1,138,1,124.7,1,0,0,1,0,0,18,0,0,0,9.4,-0.8,-3.12,"Enrolled",12,8,11.5833333333333,0,21,2.41176470588235
1,1,1,9853,1,1,137,1,132.8,1,0,0,1,0,0,18,0,0,0,7.6,2.6,0.32,"Graduate",12,11,12.5666666666667,0,15,1.47058823529412
1,43,1,9853,1,1,115,1,108.7,1,0,0,1,0,0,21,0,0,0,9.4,-0.8,-3.12,"Dropout",12,6,11.3333333333333,0,22,2.41176470588235
1,1,1,9853,1,1,129,1,138.1,0,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Dropout",12,10,11.75,0,18,2.41176470588235
1,1,1,9147,1,1,131,1,126.5,0,0,0,1,0,1,18,0,0,0,12.4,0.5,1.79,"Graduate",10,10,11.2,0,10,1.47058823529412
1,17,2,9238,1,1,133,1,127.4,1,0,0,1,0,1,18,0,0,0,12.7,3.7,-1.7,"Graduate",12,12,12.0535714285714,0,15,1.94117647058824
1,1,3,9238,1,1,125,1,123.6,1,0,0,1,0,0,20,0,0,0,9.4,-0.8,-3.12,"Graduate",12,10,11.4166666666667,0,19,2.41176470588235
1,39,1,8014,0,1,120,1,122,0,0,0,1,0,1,24,0,0,0,11.1,0.6,2.02,"Graduate",12,10,11.8,0,20,2.64705882352941
1,1,1,9670,1,1,128,1,118.2,0,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,"Dropout",12,12,13.0833333333333,0,15,3.11764705882353
1,1,1,9500,1,1,127,1,123.9,1,0,0,1,0,1,18,0,0,0,15.5,2.8,-4.06,"Graduate",15,14,12.8083333333333,0,21,2.41176470588235
1,1,2,9500,1,1,134,1,125.8,1,0,0,1,0,0,18,0,0,0,15.5,2.8,-4.06,"Graduate",15,15,15.136875,0,16,2.41176470588235
1,17,5,9853,1,1,132,1,123.3,1,0,0,1,0,0,21,0,0,0,10.8,1.4,1.74,"Dropout",12,7,11.25,0,23,2.41176470588235
1,17,2,9670,1,1,124,1,124.4,0,0,0,1,0,0,19,0,0,0,7.6,2.6,0.32,"Graduate",10,10,14.2,0,10,2.41176470588235
1,17,1,9773,1,1,133.1,1,126,0,0,0,1,0,1,19,0,0,0,15.5,2.8,-4.06,"Graduate",12,12,12.75,0,13,2.88235294117647
3,39,1,9003,1,1,170,1,170,0,0,1,1,0,0,47,0,0,0,8.9,1.4,3.51,"Enrolled",7,0,0,0,1,2.41176470588235
1,17,3,9238,1,1,125,1,121.5,0,0,0,1,0,0,19,0,0,0,13.9,-0.3,0.79,"Graduate",12,9,11.3333333333333,0,22,3.11764705882353
